UnixTimeStamp,TimeStamp,X,Y,Z
1215697261437,2008-07-10 13:41:01,01.23,01.51,00.89
1215697262467,2008-07-10 13:41:02,01.31,01.31,00.96
1215697263468,2008-07-10 13:41:03,01.20,01.22,01.12
1215697264468,2008-07-10 13:41:04,01.50,01.00,00.70
1215697265483,2008-07-10 13:41:05,02.33,01.85,01.43
1215697266483,2008-07-10 13:41:06,03.43,02.39,01.96
1215697267483,2008-07-10 13:41:07,01.33,01.23,00.93
1215697268483,2008-07-10 13:41:08,00.80,01.50,00.83
1215697269483,2008-07-10 13:41:09,00.91,00.93,01.02
1215697270483,2008-07-10 13:41:10,01.32,01.39,01.00
1215697271498,2008-07-10 13:41:11,01.16,01.09,00.98
1215697272514,2008-07-10 13:41:12,01.00,01.42,00.84
1215697273515,2008-07-10 13:41:13,01.11,01.41,00.75
1215697274530,2008-07-10 13:41:14,01.05,01.39,00.98
1215697275533,2008-07-10 13:41:15,00.76,01.48,00.81
1215697276562,2008-07-10 13:41:16,01.20,01.18,01.02
1215697277593,2008-07-10 13:41:17,01.25,01.11,00.86
1215697278593,2008-07-10 13:41:18,01.03,01.17,01.07
1215697279608,2008-07-10 13:41:19,00.82,01.14,01.02
1215697280609,2008-07-10 13:41:20,00.61,01.06,00.75
1215697281623,2008-07-10 13:41:21,03.83,02.48,01.72
1215697282623,2008-07-10 13:41:22,03.32,02.06,01.56
1215697283623,2008-07-10 13:41:23,01.76,02.50,01.86
1215697284623,2008-07-10 13:41:24,01.22,01.78,00.96
1215697285624,2008-07-10 13:41:25,00.88,01.16,01.12
1215697286639,2008-07-10 13:41:26,01.20,01.33,00.73
1215697287639,2008-07-10 13:41:27,00.95,01.28,00.77
1215697288640,2008-07-10 13:41:28,03.37,02.42,02.08
1215697289655,2008-07-10 13:41:29,02.88,02.95,01.50
1215697290655,2008-07-10 13:41:30,05.16,06.03,04.05
1215697291656,2008-07-10 13:41:31,07.53,06.30,05.35
1215697292656,2008-07-10 13:41:32,08.22,06.50,06.42
1215697293671,2008-07-10 13:41:33,08.02,07.10,05.76
1215697294691,2008-07-10 13:41:34,08.91,06.83,06.03
1215697295706,2008-07-10 13:41:35,05.70,07.35,03.75
1215697296748,2008-07-10 13:41:36,01.40,01.60,01.60
1215697297764,2008-07-10 13:41:37,02.09,02.61,02.30
1215697298769,2008-07-10 13:41:38,01.12,01.52,00.88
1215697299781,2008-07-10 13:41:39,02.26,02.44,01.56
1215697300781,2008-07-10 13:41:40,02.06,03.25,03.00
1215697301811,2008-07-10 13:41:41,01.81,02.26,01.41
1215697302812,2008-07-10 13:41:42,01.60,01.60,00.85
1215697303812,2008-07-10 13:41:43,01.16,01.43,00.98
1215697304812,2008-07-10 13:41:44,01.11,01.43,01.05
1215697305827,2008-07-10 13:41:45,01.43,01.41,01.02
1215697306827,2008-07-10 13:41:46,01.61,01.86,01.18
1215697307827,2008-07-10 13:41:47,02.95,02.77,01.18
1215697308827,2008-07-10 13:41:48,16.00,11.50,04.00
1215697309827,2008-07-10 13:41:49,02.03,02.50,01.34
1215697310827,2008-07-10 13:41:50,04.91,05.41,03.63
1215697311827,2008-07-10 13:41:51,05.29,05.02,03.37
1215697312842,2008-07-10 13:41:52,06.67,04.49,04.56
1215697313842,2008-07-10 13:41:53,06.98,06.00,04.28
1215697314843,2008-07-10 13:41:54,06.13,05.69,04.07
1215697315843,2008-07-10 13:41:55,06.48,05.25,03.43
1215697316859,2008-07-10 13:41:56,06.77,04.00,05.45
1215697317859,2008-07-10 13:41:57,02.63,03.15,01.96
1215697318859,2008-07-10 13:41:58,04.27,04.27,03.65
1215697319862,2008-07-10 13:41:59,01.63,01.72,01.22
1215697320862,2008-07-10 13:42:00,01.11,01.24,00.66
1215697321890,2008-07-10 13:42:01,01.31,01.71,01.58
1215697322905,2008-07-10 13:42:02,01.13,01.66,01.24
1215697323906,2008-07-10 13:42:03,01.39,01.17,00.97
1215697324936,2008-07-10 13:42:04,01.62,01.56,01.35
1215697325937,2008-07-10 13:42:05,00.95,01.13,00.82
1215697326941,2008-07-10 13:42:06,01.23,01.45,00.86
1215697327941,2008-07-10 13:42:07,01.79,03.47,01.12
1215697328952,2008-07-10 13:42:08,01.82,02.82,01.56
1215697329968,2008-07-10 13:42:09,01.82,01.91,01.16
1215697330968,2008-07-10 13:42:10,05.12,03.88,04.58
1215697331968,2008-07-10 13:42:11,18.82,04.57,06.07
1215697332968,2008-07-10 13:42:12,03.62,04.06,03.21
1215697333968,2008-07-10 13:42:13,04.86,03.77,03.41
1215697334968,2008-07-10 13:42:14,01.33,01.35,01.21
1215697335968,2008-07-10 13:42:15,02.86,02.23,01.33
1215697336968,2008-07-10 13:42:16,01.00,00.86,00.91
1215697337968,2008-07-10 13:42:17,01.14,01.19,00.79
1215697338968,2008-07-10 13:42:18,00.86,01.02,00.89
1215697339984,2008-07-10 13:42:19,01.26,01.35,01.14
1215697340984,2008-07-10 13:42:20,01.07,01.20,00.93
1215697341984,2008-07-10 13:42:21,01.11,01.20,01.11
1215697342999,2008-07-10 13:42:22,01.20,01.96,01.32
1215697344005,2008-07-10 13:42:24,01.53,01.11,00.92
1215697345031,2008-07-10 13:42:25,00.91,01.39,01.16
1215697346031,2008-07-10 13:42:26,01.18,01.66,01.02
1215697347031,2008-07-10 13:42:27,01.23,01.19,00.65
1215697348031,2008-07-10 13:42:28,00.86,01.21,00.95
1215697349046,2008-07-10 13:42:29,00.89,01.02,00.93
1215697350046,2008-07-10 13:42:30,01.17,01.57,01.02
1215697351046,2008-07-10 13:42:31,00.89,01.02,00.95
1215697352047,2008-07-10 13:42:32,01.20,01.11,01.05
1215697353062,2008-07-10 13:42:33,01.18,01.34,01.20
1215697354062,2008-07-10 13:42:34,01.11,01.48,00.91
1215697355063,2008-07-10 13:42:35,01.12,01.14,00.83
1215697356063,2008-07-10 13:42:36,00.93,01.32,00.64
