UnixTimeStamp,TimeStamp,X,Y,Z
1215697462516,2008-07-10 13:44:22,03.15,04.94,03.94
1215697463517,2008-07-10 13:44:23,04.82,08.00,08.30
1215697464532,2008-07-10 13:44:24,02.85,08.26,06.23
1215697465533,2008-07-10 13:44:25,02.79,05.50,03.61
1215697466547,2008-07-10 13:44:26,02.54,03.54,02.72
1215697467547,2008-07-10 13:44:27,03.15,09.46,08.59
1215697468548,2008-07-10 13:44:28,01.40,02.52,01.74
1215697469548,2008-07-10 13:44:29,04.38,10.54,06.21
1215697470563,2008-07-10 13:44:30,02.02,03.77,03.23
1215697471563,2008-07-10 13:44:31,04.90,08.07,06.61
1215697472564,2008-07-10 13:44:32,02.46,08.71,04.98
1215697473573,2008-07-10 13:44:33,03.08,05.26,04.39
1215697474578,2008-07-10 13:44:34,02.38,04.83,03.90
1215697475579,2008-07-10 13:44:35,01.90,04.33,03.50
1215697476594,2008-07-10 13:44:36,03.24,07.50,06.62
1215697477594,2008-07-10 13:44:37,00.88,01.05,01.05
1215697478594,2008-07-10 13:44:38,04.33,04.69,03.08
1215697479594,2008-07-10 13:44:39,01.31,01.17,01.24
1215697480599,2008-07-10 13:44:40,01.24,01.29,00.90
1215697481611,2008-07-10 13:44:41,03.38,02.80,02.03
1215697482611,2008-07-10 13:44:42,02.13,02.73,01.75
1215697483625,2008-07-10 13:44:43,01.14,01.19,01.00
1215697484625,2008-07-10 13:44:44,02.08,01.50,01.87
1215697485626,2008-07-10 13:44:45,01.46,01.17,01.22
1215697486641,2008-07-10 13:44:46,01.79,01.05,01.21
1215697487641,2008-07-10 13:44:47,02.84,02.75,02.11
1215697488642,2008-07-10 13:44:48,03.22,04.44,03.37
1215697489657,2008-07-10 13:44:49,04.41,03.00,03.00
1215697490657,2008-07-10 13:44:50,01.73,01.36,01.32
1215697491657,2008-07-10 13:44:51,02.51,02.15,01.85
1215697492657,2008-07-10 13:44:52,01.51,02.09,02.02
1215697493658,2008-07-10 13:44:53,03.59,03.31,04.62
1215697494658,2008-07-10 13:44:54,05.55,04.48,05.74
1215697495672,2008-07-10 13:44:55,03.92,06.64,07.46
1215697496682,2008-07-10 13:44:56,03.80,05.10,04.00
1215697497689,2008-07-10 13:44:57,03.80,06.46,05.07
1215697498703,2008-07-10 13:44:58,02.85,03.12,02.61
1215697499704,2008-07-10 13:44:59,03.97,10.62,08.23
1215697500704,2008-07-10 13:45:00,05.38,11.48,08.13
1215697501719,2008-07-10 13:45:01,03.17,06.88,04.36
1215697502719,2008-07-10 13:45:02,03.79,10.48,05.90
1215697503719,2008-07-10 13:45:03,07.95,19.90,17.03
1215697504720,2008-07-10 13:45:04,09.92,17.41,16.18
1215697505720,2008-07-10 13:45:05,08.49,18.39,10.39
1215697506720,2008-07-10 13:45:06,02.92,07.74,04.87
1215697507720,2008-07-10 13:45:07,02.05,04.72,04.28
1215697508735,2008-07-10 13:45:08,04.43,08.23,10.00
1215697509736,2008-07-10 13:45:09,04.29,11.10,06.88
1215697510750,2008-07-10 13:45:10,04.08,06.85,04.90
1215697511751,2008-07-10 13:45:11,02.00,05.90,04.57
1215697512751,2008-07-10 13:45:12,01.78,02.39,02.20
1215697513751,2008-07-10 13:45:13,03.98,04.65,05.91
1215697514751,2008-07-10 13:45:14,03.79,05.29,06.36
1215697515756,2008-07-10 13:45:15,03.76,04.79,03.44
1215697516768,2008-07-10 13:45:16,01.84,03.65,02.76
1215697517783,2008-07-10 13:45:17,04.92,07.49,05.31
1215697518783,2008-07-10 13:45:18,02.02,02.95,02.55
1215697519783,2008-07-10 13:45:19,03.13,05.68,04.73
1215697520783,2008-07-10 13:45:20,01.17,03.36,02.62
1215697521783,2008-07-10 13:45:21,01.64,03.17,02.48
1215697522783,2008-07-10 13:45:22,01.90,02.73,02.71
1215697523783,2008-07-10 13:45:23,02.20,03.80,02.90
1215697524783,2008-07-10 13:45:24,01.59,03.88,03.54
1215697525783,2008-07-10 13:45:25,01.69,03.17,02.71
1215697526783,2008-07-10 13:45:26,01.48,05.43,04.24
1215697527783,2008-07-10 13:45:27,02.53,04.35,03.13
1215697528783,2008-07-10 13:45:28,03.38,07.84,05.51
1215697529783,2008-07-10 13:45:29,02.26,03.37,03.23
1215697530783,2008-07-10 13:45:30,02.35,03.65,02.25
1215697531783,2008-07-10 13:45:31,02.00,04.02,03.57
1215697532783,2008-07-10 13:45:32,01.50,03.03,02.37
