UnixTimeStamp,TimeStamp,Sampling
1215697582127,2008-07-10 13:46:22,43
1215697583142,2008-07-10 13:46:23,40
1215697584142,2008-07-10 13:46:24,41
1215697585142,2008-07-10 13:46:25,44
1215697586143,2008-07-10 13:46:26,41
1215697587150,2008-07-10 13:46:27,44
1215697588159,2008-07-10 13:46:28,42
1215697589159,2008-07-10 13:46:29,42
1215697590173,2008-07-10 13:46:30,43
1215697591174,2008-07-10 13:46:31,40
1215697592176,2008-07-10 13:46:32,44
1215697593189,2008-07-10 13:46:33,37
1215697594189,2008-07-10 13:46:34,43
1215697595189,2008-07-10 13:46:35,41
1215697596189,2008-07-10 13:46:36,39
1215697597189,2008-07-10 13:46:37,45
1215697598190,2008-07-10 13:46:38,36
1215697599196,2008-07-10 13:46:39,42
1215697600205,2008-07-10 13:46:40,40
1215697601205,2008-07-10 13:46:41,39
1215697602205,2008-07-10 13:46:42,42
1215697603205,2008-07-10 13:46:43,39
1215697604205,2008-07-10 13:46:44,37
1215697605205,2008-07-10 13:46:45,41
1215697606205,2008-07-10 13:46:46,42
1215697607205,2008-07-10 13:46:47,43
1215697608205,2008-07-10 13:46:48,40
1215697609205,2008-07-10 13:46:49,41
1215697610205,2008-07-10 13:46:50,42
1215697611205,2008-07-10 13:46:51,42
1215697612209,2008-07-10 13:46:52,42
1215697613220,2008-07-10 13:46:53,42
1215697614221,2008-07-10 13:46:54,44
1215697615221,2008-07-10 13:46:55,38
1215697616221,2008-07-10 13:46:56,42
1215697617221,2008-07-10 13:46:57,41
1215697618221,2008-07-10 13:46:58,40
1215697619221,2008-07-10 13:46:59,43
1215697620221,2008-07-10 13:47:00,39
1215697621221,2008-07-10 13:47:01,44
1215697622221,2008-07-10 13:47:02,39
1215697623222,2008-07-10 13:47:03,43
1215697624237,2008-07-10 13:47:04,41
1215697625237,2008-07-10 13:47:05,42
1215697626237,2008-07-10 13:47:06,44
1215697627237,2008-07-10 13:47:07,41
1215697628244,2008-07-10 13:47:08,43
1215697629252,2008-07-10 13:47:09,42
1215697630252,2008-07-10 13:47:10,42
1215697631252,2008-07-10 13:47:11,41
1215697632252,2008-07-10 13:47:12,44
1215697633252,2008-07-10 13:47:13,39
1215697634252,2008-07-10 13:47:14,45
1215697635252,2008-07-10 13:47:15,39
1215697636252,2008-07-10 13:47:16,42
1215697637253,2008-07-10 13:47:17,39
1215697638268,2008-07-10 13:47:18,41
1215697639268,2008-07-10 13:47:19,45
1215697640268,2008-07-10 13:47:20,31
1215697641298,2008-07-10 13:47:21,32
1215697642299,2008-07-10 13:47:22,40
1215697643299,2008-07-10 13:47:23,43
1215697644299,2008-07-10 13:47:24,41
1215697645300,2008-07-10 13:47:25,42
1215697646314,2008-07-10 13:47:26,39
1215697647315,2008-07-10 13:47:27,35
1215697648315,2008-07-10 13:47:28,23
1215697649316,2008-07-10 13:47:29,37
