UnixTimeStamp,TimeStamp,X,Y,Z
1215697271498,2008-07-10 13:41:11,01.18,01.24,01.04
1215697272514,2008-07-10 13:41:12,00.98,01.52,01.00
1215697273515,2008-07-10 13:41:13,00.84,01.41,01.14
1215697274530,2008-07-10 13:41:14,01.15,01.78,01.22
1215697275533,2008-07-10 13:41:15,00.95,01.33,01.17
1215697276562,2008-07-10 13:41:16,00.87,01.42,00.89
1215697277593,2008-07-10 13:41:17,01.09,01.25,00.86
1215697278593,2008-07-10 13:41:18,00.91,01.18,00.89
1215697279608,2008-07-10 13:41:19,01.04,01.22,01.22
1215697280609,2008-07-10 13:41:20,00.93,01.52,00.76
1215697281623,2008-07-10 13:41:21,01.36,01.38,01.74
1215697282623,2008-07-10 13:41:22,01.38,02.29,01.10
1215697283623,2008-07-10 13:41:23,01.71,04.93,02.17
1215697284623,2008-07-10 13:41:24,00.77,01.16,01.07
1215697285624,2008-07-10 13:41:25,01.18,01.23,00.90
1215697286639,2008-07-10 13:41:26,01.20,01.27,00.78
1215697287639,2008-07-10 13:41:27,01.00,01.48,00.74
1215697288640,2008-07-10 13:41:28,01.55,03.52,01.69
1215697289655,2008-07-10 13:41:29,02.79,05.05,04.51
1215697290655,2008-07-10 13:41:30,12.60,18.98,06.98
1215697291656,2008-07-10 13:41:31,17.60,24.27,07.58
1215697292656,2008-07-10 13:41:32,15.98,25.74,12.26
1215697293671,2008-07-10 13:41:33,12.36,23.92,10.26
1215697294691,2008-07-10 13:41:34,14.62,16.16,09.73
1215697295706,2008-07-10 13:41:35,04.44,05.63,05.06
1215697296748,2008-07-10 13:41:36,01.30,01.70,02.10
1215697297764,2008-07-10 13:41:37,06.00,05.88,05.31
1215697298769,2008-07-10 13:41:38,01.15,01.79,01.47
1215697299781,2008-07-10 13:41:39,01.25,01.53,01.23
1215697300781,2008-07-10 13:41:40,01.50,05.50,07.00
1215697301811,2008-07-10 13:41:41,,,,
1215697302812,2008-07-10 13:41:42,01.32,01.47,01.11
1215697303812,2008-07-10 13:41:43,01.00,01.29,00.83
1215697304812,2008-07-10 13:41:44,01.12,01.10,01.02
1215697305827,2008-07-10 13:41:45,01.51,02.10,02.41
1215697306827,2008-07-10 13:41:46,03.94,10.72,03.03
1215697307827,2008-07-10 13:41:47,01.25,01.58,01.54
1215697308827,2008-07-10 13:41:48,03.32,03.42,05.95
1215697309827,2008-07-10 13:41:49,04.80,10.39,02.61
1215697310827,2008-07-10 13:41:50,08.11,14.75,05.72
1215697311827,2008-07-10 13:41:51,15.47,22.38,05.74
1215697312842,2008-07-10 13:41:52,11.41,12.26,05.76
1215697313842,2008-07-10 13:41:53,11.50,19.13,06.76
1215697314843,2008-07-10 13:41:54,12.39,19.37,07.89
1215697315843,2008-07-10 13:41:55,07.46,13.46,08.44
1215697316859,2008-07-10 13:41:56,09.70,11.95,06.95
1215697317859,2008-07-10 13:41:57,01.63,02.49,02.46
1215697318859,2008-07-10 13:41:58,04.70,07.56,08.60
1215697319862,2008-07-10 13:41:59,01.24,01.61,00.98
1215697320862,2008-07-10 13:42:00,00.98,01.21,01.24
1215697321890,2008-07-10 13:42:01,00.83,01.07,00.98
1215697322905,2008-07-10 13:42:02,01.50,01.60,01.05
1215697323906,2008-07-10 13:42:03,00.93,01.26,00.98
1215697324936,2008-07-10 13:42:04,00.93,01.40,01.33
1215697325937,2008-07-10 13:42:05,01.12,01.26,00.98
1215697326941,2008-07-10 13:42:06,01.00,01.38,01.03
1215697327941,2008-07-10 13:42:07,01.41,01.85,01.13
1215697328952,2008-07-10 13:42:08,01.16,01.37,00.77
1215697329968,2008-07-10 13:42:09,02.02,02.36,01.67
1215697330968,2008-07-10 13:42:10,09.33,06.71,05.74
1215697331968,2008-07-10 13:42:11,00.97,01.44,01.18
1215697332968,2008-07-10 13:42:12,01.53,07.05,03.63
1215697333968,2008-07-10 13:42:13,06.97,06.90,04.79
1215697334968,2008-07-10 13:42:14,01.53,03.11,02.72
